,author_name,book_name,book_link,book_category
46,آرثر كونان دويل,قصة مغامرة تاج الزمرد ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8AAD8A7D8ACD8A7D984D8B2D985D8B1D8AF-1.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
47,آرثر كونان دويل,قصة مغامرة مدرسة الرهبان ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D985D8AFD8B1D8B3D8A9D8A7D984D8B1D987D8A8D8A7D986.pdf,   الأدب العالمي المترجم  الروايات العالمية المترجمة
48,آرثر كونان دويل,قصة مغامرة النزيلة الملثمة ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8A7D984D986D8B2D98AD984D8A9D8A7D984D985D984D8ABD985D8A9.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
49,آرثر كونان دويل,قصة قضية جسر ثور ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D982D8B6D98AD8A9D8ACD8B3D8B1D8ABD988D8B1.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
50,آرثر كونان دويل,قصة مغامرة رَجل الطلاء المتقاعد ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8B1D98ED8ACD984D8A7D984D8B7D984D8A7D8A1D8A7D984D985D8AAD982D8A7D8B9D8AF.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
51,آرثر كونان دويل,قصة ذو الشفة الملتوية ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D8B0D988D8A7D984D8B4D981D8A9D8A7D984D985D984D8AAD988D98AD8A9.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
52,آرثر كونان دويل,قصة مغامرة نظَّارة الأنف الذهبية ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/24928264-2.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
53,آرثر كونان دويل,مغامرة مصاص دماء ساسكس ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D8B1D988D8A7D98AD8A9D985D8BAD8A7D985D8B1D8A9D985D8B5D8A7D8B5D8AFD985D8A7D8A1D8B3D8A7D8B3D983D8B3.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
54,آرثر كونان دويل,مغامرات شارلوك هولمز ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D8B1D988D8A7D98AD8A9D985D8BAD8A7D985D8B1D8A7D8AAD8B4D8A7D8B1D984D988D983D987D988D984D985D8B2.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
55,آرثر كونان دويل,كلب عائلة باسكرفيل النسخة الواضحة ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D8B1D988D8A7D98AD8A9D983D984D8A8D8B9D8A7D8A6D984D8A9D8A8D8A7D8B3D983D8B1D981D98AD984D8A7D984D986D8B3D8AED8A9D8A7D984D988D8A7D8B6D8ADD8A9.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
