,author_name,book_name,book_category,book_language,number_of_pages,publisher,book_size
96,أبو القاسم سعد الله, تاريخ الجزائر الثقافي ج 6 ,   التاريخ الحديث,Arabic,464,  الغرب الإسلامي,7.68
97,أبو القاسم سعد الله, تاريخ الجزائر الثقافي ج 5 ,   التاريخ الحديث,Arabic,624,  الغرب الإسلامي,10.3
98,أبو القاسم سعد الله, تاريخ الجزائر الثقافي ج 4 ,   التاريخ الحديث,Arabic,544,  الغرب الإسلامي,9.16
99,أبو القاسم سعد الله, تاريخ الجزائر الثقافي ج 3 ,   التاريخ الحديث,Arabic,457,  الغرب الإسلامي,16.93
100,أبو القاسم سعد الله, تاريخ الجزائر الثقافي ج 2 ,   التاريخ  التاريخ الحديث,Arabic,457,  الغرب الإسلامي,6.99
101,أبو القاسم سعد الله, الحركة الوطنية الجزائرية ,   التاريخ,Arabic,312,  الغرب الإسلامي,37
102,أبو المحاسن بهاء الدين بن شداد, سيرة صلاح الدين الايوبي ,   التاريخ القديم,Arabic,232,  هنداوي ,8.93
103,أتربي أبو العز, نبذة عن الصين ,   أدب الرحلات,Arabic,40,  هنداوي,7
104,أحلام مستغانمي,الأسود يليق بك ,   روايات عربية,Arabic,332,  نوفل,3.8
105,أحلام مستغانمي,ذاكرة الجسد ,   روايات عربية,Arabic,406,  الادب بيروت,2
106,أحلام مستغانمي, أكاذيب سمكة  أحلام مستغانمى,   روايات عربية,Arabic,63, نوفل,0.55
107,أحلام مستغانمي,الة في لحظة عري  أحلام مستغانمى,   روايات عربية,Arabic,53,  الآداب بيروت,0.19
108,أحلام مستغانمي,شهيا كفراق  أحلام مستغانمى,   روايات عربية,Arabic,161,  نوفل,3.01
109,أحلام مستغانمي, على مرفأ الأيام  أحلام مستغانمى,   روايات عربية,Arabic,21,  الآداب بيروت,0.13
110,أحلام مستغانمي, قلوبهم معنا وقنابلهم علينا  أحلام مستغانمى,   روايات عربية,Arabic,54,  الآداب بيروت,0.44
111,أحلام مستغانمي,عابر سرير  أحلام مستغانمى,   روايات عربية,Arabic,319,  الآداب بيروت,3.4
112,أحلام مستغانمي,فوضى الحواس  أحلام مستغانمى,   روايات عربية,Arabic,376,  الآداب بيروت,4.6
113,أحلام مستغانمي,ذاكرة الجسد  أحلام مستغانمى,   روايات عربية,Arabic,404,  الآداب بيروت,5.8
114,أحلام مستغانمي, نسيان  أحلام مستغانمى,   روايات عربية,Arabic,338,  الآداب ببيروت,3
115,أحمد الشدياق, الواسطة في احوال مالطة ,   أدب الرحلات,Arabic,74,  هنداوي,11
116,أحمد الهاشمي, ميزان الذهب في صناعة شعر العرب ,  اللغة العربية,Arabic,154,  هنداوي,11
117,أحمد الهاشمي, جواهر البلاغة ,  اللغة العربية,Arabic,436,  هنداوي,2
118,أحمد بن يوسف السيد, إلى الجيل الصاعد ,  العقيدة,Arabic,169, تكوين ,2
119,أحمد بن يوسف السيد, الي الجيل الصاعد ,   التنمية الذاتية,Arabic,129, تكوين  والطباعة,1.86
120,أحمد تيمور, خيال الظل واللعب والتماثيل عند العرب ,  الثقافة العامة,Arabic,76,  هنداوي,23
121,أحمد تيمور, تاريخ العلم العثماني ,   التاريخ,Arabic,26,  هنداوي,11
122,أحمد تيمور, لعب العرب ,  الثقافة العامة,Arabic,54,  هنداوي,6
123,أحمد تيمور, تاريخ الاسرة التيمورية ,  أعلام وشخصيات,Arabic,30,  هنداوي,1
124,أحمد تيمور, الكنايات العامية ,  الثقافة العامة,Arabic,144,  هنداوي,4
125,أحمد تيمور, الحب والجمال عند العرب ,  الأدب,Arabic,168,  هنداوي,8
126,أحمد تيمور, الامثال العامية ,  الثقافة العامة,Arabic,492,  هنداوي,5
127,أحمد تيمور, الاثار النبوية ,   اسلامية,Arabic,110,  هنداوي,7
128,أحمد تيمور, اوهام شعراء العرب في المعاني ,  اللغة العربية,Arabic,120,  هنداوي,2
129,أحمد تيمور, اعلام الفكر الاسلامي في العصر الحديث ,  أعلام وشخصيات,Arabic,294,  هنداوي,2
130,أحمد تيمور, اعلام المهندسين في الاسلام ,  أعلام وشخصيات,Arabic,90,  هنداوي,9
131,أحمد تيمور, ابو العلاء المعري ,  أعلام وشخصيات,Arabic,166,  هنداوي,6
132,أحمد خالد توفيق,المتلصص ,   روايات عربية,Arabic,106,  العربية الحديثة,7.2
133,أحمد خالد توفيق,احدهم هرب ,   روايات عربية,Arabic,140,  العربية الحديثة,12.3
134,أحمد خالد توفيق,غرباء الاطوار ,   روايات عربية,Arabic,147,  العربية الحديثة,6.6
135,أحمد خالد توفيق,العد الاخير ,   روايات عربية,Arabic,73,  العربية الحديثة,3
136,أحمد خالد توفيق,المحادثة ,   روايات عربية,Arabic,122,  العربية الحديثة,5.5
137,أحمد خالد توفيق,سر جزيرة النخيل ,   روايات عربية,Arabic,111,  العربية الحديثة,7.3
138,أحمد خالد توفيق,رعب على الهضبة ,   روايات عربية,Arabic,127,  العربية الحديثة,5.5
139,أحمد خالد توفيق,جنون في المركز التجاري ,   روايات عربية,Arabic,125,  العربية الحديثة,5.5
140,أحمد خالد توفيق,ثورة الحيوانات ,   روايات عربية,Arabic,95,  العربية الحديثة,4.3
141,أحمد خالد توفيق,لعنة التلميذ الجديد ,   روايات عربية,Arabic,127,  العربية الحديثة,58
142,أحمد خالد توفيق,المزرعة المنسية ,   روايات عربية,Arabic,127,  العربية الحديثة,5.9
143,أحمد خالد توفيق,بستان التفاح ,   روايات عربية,Arabic,110,  العربية الحديثة,5
144,أحمد خالد توفيق,التعويذة الغامضة ,   روايات عربية,Arabic,111,  العربية الحديثة,5.6
145,أحمد خالد توفيق,خمن من القادم ,   روايات عربية,Arabic,125,  العربية الحديثة,5.9
146,أحمد خالد توفيق,ليلة الفتى الكبش ,   روايات عربية,Arabic,160,  العربية الحديثة,7.7
147,أحمد خالد توفيق,سبعة مفاتيح لبالدبيت ,   الروايات العالمية المترجمة  روايات عربية,Arabic,127,  العربية الحديثة,8.9
148,أحمد خالد توفيق,احزان الشيطان ,   الروايات العالمية المترجمة  روايات عربية,Arabic,158,  العربية الحديثة,14
